"name","sku","price","quantity","tags","image","description"
"Woven Design Silk Cotton Saree","APP-00119","28.08","60","charukriti,clothing,cotton,silk","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22934340/2023/4/28/7aca58b6-b483-4253-999a-5b7c937a9d0c1682670755451Sarees1.jpg","Woven Design Silk Cotton Saree. From Charukriti."
"Kurti With Sharara & Dupatta","APP-00120","35.39","100","clothing,scakhi","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22913656/2023/4/27/03616c53-aa89-4972-a152-eab79845a6e61682569057195PinkCottonLurexIkatPrintKurtiShararaDupattaSet1.jpg","Kurti With Sharara & Dupatta. From SCAKHI."
"Printed Embellished Saree","APP-00121","16.12","47","anouk,clothing,printed","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22920520/2023/4/28/1dde48c9-765e-4aa6-bb84-76bf5ae17af01682634614361Sarees1.jpg","Printed Embellished Saree. From Anouk."
"Woven Design Banarasi Silk Blend Saree","APP-00122","16.79","97","clothing,rajgranth,silk","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22920144/2023/4/27/591bc177-02a9-419a-93f8-0801820170ce1682607230687RAJGRANTHWomensBanarasiSilkWithJacquardPrintPartyWearSaree1.jpg","Woven Design Banarasi Silk Blend Saree. From RAJGRANTH."
"Kurta with Trousers & Dupatta","APP-00123","42.0","30","clothing,house of jamoti","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22905028/2023/4/26/b297af14-f69f-4a5a-a100-f1ee4164e1bd1682503324051KurtaSets1.jpg","Kurta with Trousers & Dupatta. From HOUSE OF JAMOTI."
"Gold-Plated Long Jewellery Set","ACC-00044","5.58","37","accessories,mansiyaorange","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22867492/2023/4/22/7d687fa2-e8cc-4dc5-8723-449c8fda0ebf1682168150672MansiyaorangeOriginalLookGoldenColorLongRaniHaarSetForWomen1.jpg","Gold-Plated Long Jewellery Set. From MANSIYAORANGE."
"Woven Design Art Silk Saree","APP-00124","32.34","58","clothing,meena bazaar,silk","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22955348/2023/5/1/947fed9f-f44e-4195-8d7f-b1983216c95b1682908122226MeenaBazaarBurgundyGold-TonedWovenDesignZariArtSilkSaree1.jpg","Woven Design Art Silk Saree. From Meena Bazaar."
"Pure Chiffon Leheriya Saree","APP-00125","8.63","25","chiffon,clothing,kalini","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22924508/2023/4/27/a4e38ffd-28bc-43f3-9d35-30896a66f23b1682615220020KaliniGreenChiffonEthnicEmbellishedFestiveSareewithMatchingB1.jpg","Pure Chiffon Leheriya Saree. From KALINI."
"Gold-Plated Necklace","ACC-00045","4.07","29","accessories,rofarword","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22915834/2023/4/27/b8c9851c-f9bb-41e0-a453-d94d43d480041682590195673ROFARWORDTraditionalNecklaceChainforWomenGirls1.jpg","Gold-Plated Necklace. From ROFARWORD."
"Printed Cotton Ethnic Dress","APP-00126","56.05","63","clothing,cotton,ethnic,printed,scakhi","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22913652/2023/4/27/7d24511e-518b-4f93-9d6a-761af6d8d1881682568266790SCAKHIWomenPinkEthnicMotifsPrintedKeyholeNeckFloralAnarkaliK1.jpg","Printed Cotton Ethnic Dress. From SCAKHI."
"Printed Pure Cotton Saree","APP-00127","12.76","95","anouk,clothing,cotton,printed","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22941938/2023/4/28/449af3b2-432c-43ed-8a08-6145c4027f121682688263921Sarees1.jpg","Printed Pure Cotton Saree. From Anouk."
"Paisley Kanjeevaram Saree","APP-00128","59.99","49","clothing,mimosa","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22915730/2023/4/27/4bcfb1e8-4c70-4493-9604-82feb04859311682590180753Sarees1.jpg","Paisley Kanjeevaram Saree. From MIMOSA."
"Floral Printed Anarkali Kurta","APP-00129","31.2","43","clothing,floral,indya,printed","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22915046/2023/4/27/49ddaa8c-db42-4a33-8a67-53735bfd1f4a1682584539837RedBatikPrintAnarkaliKurta1.jpg","Floral Printed Anarkali Kurta. From INDYA."
"Ethnic Motifs Silk Blend Saree","APP-00130","47.99","48","clothing,ethnic,phenav,silk","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22895374/2023/4/26/786a2c40-aa45-4a49-adf1-0eb031f482631682533534063Sarees1.jpg","Ethnic Motifs Silk Blend Saree. From Phenav."
"Silver-Plated Oxidized Bangle","APP-00131","23.99","84","clothing,samridhi dc","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22882102/2023/4/24/c9804859-5287-4183-86bf-830e4d0bdb381682341145313OxidizedSilver-PlatedJhumkiCuffGhungrooBeadedBangle1.jpg","Silver-Plated Oxidized Bangle. From Samridhi DC."
"Gold-Plated Jewellery Set","ACC-00046","10.58","42","accessories,sukkhi","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22863238/2023/4/22/077b01bd-0892-48cc-9ed7-a0cccb81fbb41682158346504SukkhiGracefulGoldPlatedKundanMeenakariChokerNecklaceSetforW1.jpg","Gold-Plated Jewellery Set. From Sukkhi."
"Floral Pure Cotton Saree","APP-00132","28.08","93","charukriti,clothing,cotton,floral","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22934326/2023/4/28/ff990386-21c7-4328-a7cf-077be6ac33161682670735365Sarees1.jpg","Floral Pure Cotton Saree. From Charukriti."
"Printed Straight Kurta","APP-00133","8.39","37","clothing,printed,skyasia","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22919262/2023/4/27/5321400d-711d-4d5a-a3d3-9bc81ab899ce1682591158480SkyaSiaWomenPinkPaisleyPrintedGottaPattiFloralKurta1.jpg","Printed Straight Kurta. From SkyaSia."
"Rose Gold-Plated Mangalsutra","APP-00134","10.57","21","clothing,vita bella","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22905700/2023/4/26/051b181b-b9e9-4260-86b9-b7657281c0381682502411512RoseGold-PlatedBeadedADStuddedMangalsutraEarringsSet1.jpg","Rose Gold-Plated Mangalsutra. From Vita Bella."
"Ethnic Motifs Silk Blend Saree","APP-00135","47.99","85","clothing,ethnic,phenav,silk","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22895368/2023/4/26/b01c7053-d63e-4223-8f76-6baaa50297791682533498825Sarees1.jpg","Ethnic Motifs Silk Blend Saree. From Phenav."
"Women Embroidered Kurta with Trousers With Dupatta","APP-00136","19.75","37","clothing,embroidered,navibhu,women","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22847962/2023/4/26/9b4eaf5c-4da3-45d2-8586-d1c1aa0dede91682506321696-Navibhu-Green-Embroidered-Straight-Kurta-Trouser-With-Dupatt-1.jpg","Women Embroidered Kurta with Trousers With Dupatta. From navibhu."
"Chanderi Silk Cotton Saree","APP-00137","18.62","49","clothing,cotton,pisara,silk","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22947070/2023/4/28/768fa470-c880-450b-9aed-0cb0e88711f31682699928191PisaraNavyBlueSilkCottonWovenDesignChanderiSaree1.jpg","Chanderi Silk Cotton Saree. From Pisara."
"Tie And Dye Printed Zari Saree","ACC-00047","13.76","26","accessories,anouk,printed","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22941934/2023/4/28/becf61b6-402c-4605-8b7c-932f1dcf80071682688670670Sarees1.jpg","Tie And Dye Printed Zari Saree. From Anouk."
"Striped Pure Cotton Saree","APP-00138","35.99","39","clothing,cotton,fabindia,striped","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22932186/2023/4/28/520d020a-6655-495f-ba31-e11d4e8485ae1682662935868RedCottonWovenSari1.jpg","Striped Pure Cotton Saree. From Fabindia."
"Woven Design Pure Cotton Saree","APP-00139","60.38","66","charukriti,clothing,cotton","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22934498/2023/4/28/ed6c62f5-4268-4982-a4bc-8e2073662cb31682674116215Sarees1.jpg","Woven Design Pure Cotton Saree. From Charukriti."
"Kurti","APP-00140","22.8","84","clothing,crazevilla","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22929160/2023/4/28/8c1993ab-1ef2-44b8-ab3c-f47f98f3137b1682632948404ShortKurti1.jpg","Kurti. From CRAZEVILLA."
"Kurta with Trousers & Dupatta","APP-00141","41.98","59","clothing,house of jamoti","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22905020/2023/4/26/8840e068-9931-481b-a1ac-fe428405a36a1682500295691KurtaSets1.jpg","Kurta with Trousers & Dupatta. From HOUSE OF JAMOTI."
"Kota Pure Cotton Saree","APP-00142","20.39","54","clothing,cotton,unnati silks","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22888746/2023/4/25/c18d26c2-af4a-45b5-bb35-7254619347fa1682421005789PureBlockPrintedKotaCottonSaree1.jpg","Kota Pure Cotton Saree. From Unnati Silks."
"Rhodium-Plated Drop Earrings","ACC-00048","7.09","66","aazeen,accessories","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22945144/2023/4/28/885ba632-56e0-4fde-afd2-22c3844dff951682682462021AazeenSeaGreenCircularStudsEarrings1.jpg","Rhodium-Plated Drop Earrings. From Aazeen."
"Brass Gold-Plated Layered Necklace","ACC-00049","3.59","71","aazeen,accessories","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22935316/2023/4/28/73c383e7-19e0-4965-a14f-7cfb6b43a3461682675973680Gold-PlatedWhiteGold-TonedBrassNecklace1.jpg","Brass Gold-Plated Layered Necklace. From Aazeen."
"Set Of 2 Gold-Plated Bangles","APP-00143","7.98","52","aazeen,clothing","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22918822/2023/4/27/3db89ff6-5a1c-4b50-8a76-5e84a0d6974b1682591117730Gold-PlatedWhiteAmericanDiamondstuddedFloralShapedBanglesJew1.jpg","Set Of 2 Gold-Plated Bangles. From Aazeen."
"Woven Design Kanjeevaram Art Silk Saree","APP-00144","50.39","66","clothing,mimosa,silk","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22915530/2023/4/27/e09bedd7-6872-49ce-9cb8-717c0ae3e01e1682585116445Sarees1.jpg","Woven Design Kanjeevaram Art Silk Saree. From MIMOSA."
"Checked Pure Crepe Saree","APP-00145","20.39","74","checked,clothing,kasak","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22894326/2023/4/25/1f45b99f-0900-45b7-a63b-5265ed4f2f801682431101863KasakWomensTraditionalPrintedCrepeSareeWithBlousePiece1.jpg","Checked Pure Crepe Saree. From Kasak."
"Striped Silk Blend Saree","APP-00146","13.6","62","clothing,satrani,silk,striped","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22889650/2023/4/25/00408bd8-8b74-4a3c-8ea8-78ed1be3c6f71682440080553SatraniBlackSilkBlendScreenPrintedsaree1.jpg","Striped Silk Blend Saree. From Satrani."
"Checked Kanjeevaram Saree","APP-00147","12.17","58","anouk,checked,clothing","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22887148/2023/4/25/1693cc23-ee65-4232-921d-66128cb4781d1682415809050SilkBlendKanjeevaramSaree1.jpg","Checked Kanjeevaram Saree. From Anouk."
"Floral Pure Linen Saree","APP-00148","21.59","68","clothing,divastri,floral,linen","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22959640/2023/4/29/924943e5-7b61-41a0-a593-0401ce243e7a1682782315435GreenColorLinenFloralPrintedSareewithUnstitchedBlousePiece1.jpg","Floral Pure Linen Saree. From DIVASTRI."
"Printed A-Line Ethnic Dress","APP-00149","29.99","29","clothing,ethnic,kalini,printed","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22913108/2023/4/26/3351c2c2-56f4-454b-81bd-5b811e6c7fc11682519328746EthnicDresses1.jpg","Printed A-Line Ethnic Dress. From KALINI."
"Striped Handloom Saree","APP-00150","92.27","28","allsilks,clothing,striped","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22891366/2023/4/25/b92a0372-d5f1-4931-b7b1-5881260260f71682428019827Sarees1.jpg","Striped Handloom Saree. From AllSilks."
"Printed Tussar Pure Silk Saree","APP-00151","67.72","96","allsilks,clothing,printed,silk","https://assets.myntassets.com/f_webp,dpr_1.0,q_60,w_210,c_limit,fl_progressive/assets/images/22891140/2023/4/25/9909bcd9-c980-4822-94b2-f5c31cab50241682427757654Sarees1.jpg","Printed Tussar Pure Silk Saree. From AllSilks."
